Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
1276,Chesapeake Energy,United States,"$9,300.00","$1,100.00","$12,100.00","$3,100.00"
1277,WellCare Health Plans,United States,"$17,700.00",$408.00,"$9,700.00","$9,700.00"
1278,Ctrip.com International,China,"$4,000.00",$320.00,"$24,900.00","$23,300.00"
1279,Welltower,United States,"$4,400.00",$197.00,"$27,700.00","$20,900.00"
1280,Alstom,France,"$8,300.00",$413.00,"$16,800.00","$10,200.00"
1281,Shionogi,Japan,"$3,100.00",$982.00,"$6,800.00","$16,500.00"
1282,Canadian Tire,Canada,"$10,400.00",$566.00,"$12,500.00","$8,400.00"
1283,Ferrari,Italy,"$4,000.00",$655.00,"$5,400.00","$25,000.00"
1284,Huadian Power International,China,"$11,600.00",$65.00,"$34,300.00","$5,500.00"
1285,Chiba Bank,Japan,"$1,800.00",$485.00,"$135,200.00","$6,100.00"
1286,Kinnevik,Sweden,"$2,000.00","$1,900.00","$11,500.00","$10,300.00"
1287,LARGAN Precision,Taiwan,"$1,700.00",$854.00,"$3,900.00","$18,400.00"
1288,Arconic,United States,"$13,200.00",-$253.00,"$18,200.00","$8,800.00"
1289,Indorama Ventures,Thailand,"$8,400.00",$585.00,"$8,800.00","$10,800.00"
1290,Leonardo,Italy,"$13,000.00",$307.00,"$30,100.00","$6,600.00"
1291,Skyworks Solutions,United States,"$3,900.00",$874.00,"$4,700.00","$17,700.00"
1292,Bank of India,India,"$6,900.00",-$219.00,"$97,300.00","$2,600.00"
1293,OMRON,Japan,"$7,800.00",$570.00,"$7,000.00","$11,700.00"
1294,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietnam,"$2,700.00",$457.00,"$44,000.00","$9,100.00"
1295,Turkish Airlines,Turkey,"$11,700.00",$475.00,"$18,500.00","$5,200.00"
1296,AAC Technologies Holdings,China,"$3,100.00",$791.00,"$4,700.00","$18,900.00"
1297,ManpowerGroup,United States,"$21,800.00",$568.00,"$8,900.00","$6,300.00"
1298,Rural Electrification,India,"$3,600.00",$942.00,"$32,400.00","$3,500.00"
1299,Mirae Asset Daewoo,South Korea,"$3,300.00",$533.00,"$84,700.00","$6,300.00"
1300,Partners Group Holding,Switzerland,"$1,400.00",$764.00,"$3,000.00","$19,900.00"
1301,Bank Of Guiyang,China,"$2,200.00",$550.00,"$73,200.00","$4,900.00"
1302,Osaka Gas,Japan,"$11,700.00",$340.00,"$17,900.00","$9,000.00"
1303,Bank of Chongqing,China,"$3,200.00",$565.00,"$67,400.00","$2,300.00"
1304,Vedanta Resources,United Kingdom,"$13,400.00",-$22.00,"$28,100.00","$2,900.00"
1305,Jiangsu Hengrui Medicine,China,"$2,200.00",$506.00,"$3,000.00","$39,800.00"
1306,Wuestenrot & Wuerttembergische,Germany,"$7,000.00",$290.00,"$86,100.00","$2,200.00"
1307,Wolters Kluwer,Netherlands,"$5,000.00",$756.00,"$10,200.00","$15,600.00"
1308,McCormick,United States,"$5,000.00",$807.00,"$10,400.00","$14,000.00"
1309,Umicore,Belgium,"$13,500.00",$239.00,"$6,200.00","$13,900.00"
1310,Liberty Expedia Holdings,United States,"$10,600.00",-$178.00,"$35,800.00","$2,300.00"
1311,Nitori Holdings,Japan,"$5,100.00",$576.00,"$5,200.00","$19,000.00"
1312,Ultrapar Participacoes,Brazil,"$25,500.00",$398.00,"$8,600.00","$8,200.00"
1313,Foshan Haitian Flavouring and Food,China,"$2,300.00",$567.00,"$2,600.00","$28,900.00"
1314,Masco,United States,"$7,800.00",$538.00,"$5,600.00","$11,800.00"
1315,Valeant Pharmaceuticals,Canada,"$8,600.00",-$917.00,"$35,800.00","$7,300.00"
1316,Future Land Development Holdings,China,"$6,100.00",$571.00,"$29,100.00","$4,700.00"
1317,Naver,South Korea,"$4,400.00",$659.00,"$7,500.00","$22,100.00"
1318,Toppan Printing,Japan,"$12,900.00",$423.00,"$19,000.00","$5,300.00"
1319,Autoliv,Sweden,"$10,600.00",$410.00,"$8,900.00","$12,400.00"
1320,Kangmei Pharmaceutical,China,"$4,300.00",$672.00,"$11,500.00","$19,400.00"
1321,Rockwell Automation,United States,"$6,500.00",$412.00,"$6,500.00","$22,300.00"
1322,Huntsman,United States,"$9,300.00",$834.00,"$10,700.00","$7,600.00"
1323,Edwards Lifesciences,United States,"$3,400.00",$560.00,"$5,800.00","$29,100.00"
1324,New Residential Investment,United States,"$2,300.00","$1,400.00","$22,000.00","$6,000.00"
1325,Shoprite Holdings,South Africa,"$10,900.00",$444.00,"$5,100.00","$11,000.00"
1326,Olam International,Singapore,"$19,000.00",$380.00,"$16,700.00","$5,500.00"
1327,Chugoku Electric Power,Japan,"$11,900.00",$187.00,"$29,900.00","$4,400.00"
1328,LKQ,United States,"$10,100.00",$552.00,"$9,600.00","$9,400.00"
1329,Nielsen,United States,"$6,700.00",$430.00,"$16,900.00","$10,700.00"
1330,BorgWarner,United States,"$10,200.00",$476.00,"$10,000.00","$10,600.00"
1331,Expeditors International,United States,"$7,200.00",$532.00,"$3,200.00","$12,600.00"
1332,Shanxi Taigang Stainless,China,"$10,400.00",$869.00,"$11,600.00","$5,400.00"
1333,Packaging Corp of America,United States,"$6,600.00",$686.00,"$6,100.00","$11,000.00"
1334,Darden Restaurants,United States,"$7,900.00",$545.00,"$5,500.00","$11,200.00"
1335,Smith & Nephew,United Kingdom,"$4,800.00",$764.00,"$7,900.00","$15,400.00"
1336,Unicharm,Japan,"$5,900.00",$500.00,"$6,800.00","$17,600.00"
1337,Nippon Yusen,Japan,"$19,700.00",$182.00,"$19,500.00","$3,800.00"
1338,Alinma Bank,Saudi Arabia,"$1,400.00",$579.00,"$30,300.00","$8,100.00"
1339,Mitsui Chemicals,Japan,"$11,600.00",$675.00,"$12,300.00","$5,900.00"
1340,Assurant,United States,"$6,400.00",$482.00,"$32,400.00","$4,600.00"
1341,Quinenco,Chile,"$7,300.00",$171.00,"$61,800.00","$5,400.00"
1342,Ulta Salon Cosmetcs & Fragrance,United States,"$5,900.00",$555.00,"$3,000.00","$15,100.00"
1343,Everest Re Group,Bermuda,"$6,800.00",$378.00,"$23,500.00","$9,400.00"
1344,Interpublic Group,United States,"$8,300.00",$543.00,"$12,200.00","$9,400.00"
1345,Grupo Bimbo,Mexico,"$14,500.00",$265.00,"$13,400.00","$9,700.00"
1346,Boliden,Sweden,"$6,000.00",$863.00,"$7,200.00","$10,300.00"
1347,American Water Works,United States,"$3,400.00",$439.00,"$19,700.00","$14,900.00"
1348,Shizuoka Bank,Japan,"$1,900.00",$452.00,"$108,400.00","$6,100.00"
1349,Check Point Software,Israel,"$1,900.00",$808.00,"$5,400.00","$15,900.00"
1350,Jyske Bank,Denmark,"$2,700.00",$463.00,"$96,400.00","$4,900.00"
1351,United Internet,Germany,"$5,300.00",$693.00,"$9,200.00","$13,500.00"
1352,BPER Banca,Italy,"$3,000.00",$483.00,"$84,800.00","$2,900.00"
1353,SDIC Power Holdings,China,"$4,900.00",$497.00,"$33,800.00","$7,600.00"
1354,Digital Realty Trust,United States,"$2,600.00",$271.00,"$21,600.00","$22,400.00"
1355,Alaska Air Group,United States,"$8,000.00",$933.00,"$10,800.00","$7,500.00"
1356,Skanska,Sweden,"$18,500.00",$351.00,"$13,600.00","$7,900.00"
1357,Olympus,Japan,"$7,100.00",$515.00,"$9,200.00","$12,600.00"
1358,Smurfit Kappa Group,Ireland,"$9,700.00",$470.00,"$11,400.00","$10,000.00"
1359,Marathon Oil,United States,"$4,900.00",-$367.00,"$21,600.00","$17,900.00"
1360,PGE Polska Grupa Energetyczna,Poland,"$6,100.00",$705.00,"$20,800.00","$5,600.00"
1361,Ametek,United States,"$4,500.00",$724.00,"$8,100.00","$17,300.00"
1362,BBMG,China,"$9,100.00",$320.00,"$37,400.00","$6,600.00"
1363,Chemours,United States,"$6,500.00",$893.00,"$7,500.00","$9,000.00"
1364,TransDigm Group,United States,"$3,600.00",$719.00,"$10,400.00","$17,500.00"
1365,Shinsei Bank,Japan,"$3,200.00",$464.00,"$88,900.00","$4,200.00"
1366,Alrosa,Russia,"$4,700.00","$1,300.00","$7,400.00","$10,500.00"
1367,China International Marine,China,"$12,100.00",$370.00,"$21,700.00","$5,800.00"
1368,British Land,United Kingdom,$790.00,$794.00,"$17,500.00","$9,200.00"
1369,Qatar Islamic Bank,Qatar,"$1,300.00",$609.00,"$41,700.00","$6,700.00"
1370,Nordstrom,United States,"$15,500.00",$438.00,"$8,100.00","$8,200.00"
1371,Wyndham Worldwide,United States,"$5,500.00",$764.00,"$11,100.00","$11,100.00"
1372,Mosaic,United States,"$7,800.00",-$64.00,"$20,500.00","$10,200.00"
1373,Nine Dragons Paper Holdings,Hong Kong,"$6,800.00","$1,000.00","$10,900.00","$7,900.00"
1374,Saudi Arabian Mining,Saudi Arabia,"$3,400.00",$302.00,"$25,300.00","$17,200.00"
1375,KLA-Tencor,United States,"$3,900.00",$710.00,"$5,600.00","$17,300.00"
1376,Coca-Cola HBC,Switzerland,"$7,400.00",$482.00,"$8,000.00","$12,600.00"
1377,ALFA,Mexico,"$17,400.00",-$87.00,"$19,100.00","$5,800.00"
1378,Transurban Group,Australia,"$2,300.00",$358.00,"$19,600.00","$19,900.00"
1379,Asustek Computer,Taiwan,"$14,300.00",$511.00,"$11,600.00","$7,000.00"
1380,Bawag Group,Austria,"$1,600.00",$526.00,"$55,300.00","$5,100.00"
1381,Everbright Securities,China,"$1,400.00",$478.00,"$32,400.00","$8,700.00"
1382,PBF Energy,United States,"$22,800.00",$476.00,"$8,300.00","$4,600.00"
1383,UGI,United States,"$7,200.00",$628.00,"$12,400.00","$8,600.00"
1384,Cathay Pacific Airways,Hong Kong,"$12,500.00",-$162.00,"$24,100.00","$6,600.00"
1385,Coloplast,Denmark,"$2,500.00",$593.00,"$2,100.00","$20,200.00"
1386,China Galaxy Securities,China,"$1,700.00",$585.00,"$43,100.00","$6,500.00"
1387,Global Payments,United States,"$3,900.00",$511.00,"$12,900.00","$18,500.00"
1388,Logan Property Holdings,China,"$4,200.00",$951.00,"$17,200.00","$8,200.00"
1389,Medipal Holdings,Japan,"$27,900.00",$296.00,"$15,000.00","$4,900.00"
1390,Chow Tai Fook Jewellery,Hong Kong,"$7,000.00",$464.00,"$7,100.00","$13,400.00"
1391,Maanshan Iron & Steel,China,"$11,100.00",$706.00,"$11,300.00","$4,500.00"
1392,Meritz Financial Group,South Korea,"$8,300.00",$321.00,"$39,000.00","$1,800.00"
1393,NVR,United States,"$6,400.00",$601.00,"$2,800.00","$11,100.00"
1394,Delta Electronics,Taiwan,"$7,500.00",$575.00,"$8,300.00","$10,000.00"
1395,Royal Mail,United Kingdom,"$12,700.00",$450.00,"$9,200.00","$8,600.00"
1396,China Jinmao,Hong Kong,"$4,600.00",$586.00,"$34,100.00","$6,800.00"
1397,Sekisui Chemical,Japan,"$10,000.00",$573.00,"$9,400.00","$8,000.00"
1398,Mebuki Financial Group,Japan,"$2,000.00",$394.00,"$148,300.00","$4,700.00"
1399,Latam Airlines,Chile,"$9,800.00",$174.00,"$18,700.00","$8,600.00"
1400,Storebrand,Norway,"$6,100.00",$325.00,"$72,500.00","$4,000.00"
1401,Mitsui OSK Lines,Japan,"$14,900.00",-$427.00,"$20,000.00","$3,600.00"
1402,GAIL India,India,"$7,200.00",$502.00,"$9,100.00","$11,500.00"
1403,Arab Bank,Jordan,"$2,500.00",$523.00,"$47,900.00","$6,700.00"
1404,Brenntag,Germany,"$13,200.00",$407.00,"$8,900.00","$9,200.00"
1405,Total System Services,United States,"$4,700.00",$622.00,"$7,500.00","$16,100.00"
1406,KT&G,South Korea,"$4,100.00","$1,000.00","$9,300.00","$11,800.00"
1407,ON Semiconductor Corp.,United States,"$5,500.00",$872.00,"$7,300.00","$10,000.00"
1408,Encana,Canada,"$4,300.00",$556.00,"$15,100.00","$12,700.00"
1409,Navient,United States,"$5,400.00",$330.00,"$113,200.00","$3,600.00"
1410,Persimmon,United Kingdom,"$4,400.00","$1,000.00","$6,400.00","$11,800.00"
1411,Targa Resources,United States,"$9,200.00",$196.00,"$14,800.00","$10,600.00"
1412,Nanya Technology,Taiwan,"$2,100.00","$1,500.00","$5,400.00","$9,600.00"
1413,Bunzl,United Kingdom,"$11,100.00",$400.00,"$7,100.00","$10,200.00"
1414,Showa Shell Sekiyu,Japan,"$19,400.00",$470.00,"$9,500.00","$5,600.00"
1415,Bank Audi,Lebanon,"$3,300.00",$542.00,"$43,300.00","$2,300.00"
1416,China International Capital,China,"$2,300.00",$403.00,"$36,500.00","$9,000.00"
1417,Iida Group Holdings,Japan,"$11,600.00",$639.00,"$10,900.00","$5,600.00"
1418,Nippon Express,Japan,"$18,000.00",$59.00,"$14,300.00","$7,300.00"
1419,Noble Energy,United States,"$4,200.00",-$600.00,"$22,400.00","$16,900.00"
1420,Hanwha Chemical,South Korea,"$8,300.00",$730.00,"$12,800.00","$4,500.00"
1421,Oji Holdings,Japan,"$13,400.00",$328.00,"$18,500.00","$6,900.00"
1422,FMC,United States,"$3,500.00",$927.00,"$10,100.00","$12,000.00"
1423,PulteGroup,United States,"$8,900.00",$521.00,"$9,700.00","$8,900.00"
1424,Mitsubishi Materials,Japan,"$14,400.00",$312.00,"$18,900.00","$3,800.00"
1425,Red Eléctrica,Spain,"$2,200.00",$756.00,"$13,100.00","$11,100.00"
1426,EQT,United States,"$3,600.00",-$241.00,"$27,600.00","$13,500.00"
1427,Mallinckrodt,United Kingdom,"$3,000.00","$1,700.00","$15,500.00","$1,200.00"
1428,Vulcan Materials,United States,"$4,000.00",$609.00,"$9,500.00","$16,800.00"
1429,US Steel,United States,"$12,700.00",$585.00,"$10,000.00","$6,300.00"
1430,Ahli United Bank,Bahrain,"$1,700.00",$598.00,"$33,900.00","$4,800.00"
1431,Accor,France,"$2,200.00",$456.00,"$14,500.00","$16,100.00"
1432,Yamato Holdings,Japan,"$13,900.00",$165.00,"$10,500.00","$10,600.00"
1433,AVIC Capita,China,"$1,900.00",$459.00,"$36,200.00","$7,700.00"
1434,Goodyear,United States,"$15,500.00",$255.00,"$17,600.00","$6,100.00"
1435,Next,United Kingdom,"$5,300.00",$769.00,"$3,600.00","$10,600.00"
1436,Erdemir,Turkey,"$5,400.00","$1,100.00","$8,000.00","$8,400.00"
1437,Daelim Industrial,South Korea,"$11,400.00",$532.00,"$12,500.00","$2,700.00"
1438,JetBlue Airways,United States,"$7,200.00","$1,200.00","$10,000.00","$6,000.00"
1439,Taishin Financial Holdings,Taiwan,"$1,700.00",$452.00,"$59,500.00","$4,900.00"
1440,Verisk Analytics,United States,"$2,200.00",$579.00,"$6,200.00","$17,500.00"
1441,Tech Data,United States,"$36,800.00",$117.00,"$12,700.00","$3,100.00"
1442,Alleghany,United States,"$6,500.00",$113.00,"$25,100.00","$9,000.00"
1443,BNK Financial Group,South Korea,"$3,800.00",$390.00,"$102,500.00","$3,000.00"
1444,Xiamen International Trade Group,China,"$25,900.00",$251.00,"$13,800.00","$2,400.00"
1445,Union Bank of India,India,"$5,700.00",$85.00,"$70,300.00","$1,500.00"
1446,Yonghui Superstores,China,"$9,300.00",$275.00,"$5,200.00","$14,000.00"
1447,AutoNation,United States,"$21,700.00",$430.00,"$10,200.00","$4,200.00"
1448,Pandora,Denmark,"$3,500.00",$875.00,"$2,800.00","$11,900.00"
1449,RHB Bank,Malaysia,"$2,500.00",$454.00,"$56,900.00","$5,300.00"
1450,Hyundai Engineering,South Korea,"$14,700.00",$248.00,"$17,200.00","$6,700.00"
1451,Thai Oil,Thailand,"$9,900.00",$733.00,"$7,000.00","$5,800.00"
1452,Huntington Ingalls Industries,United States,"$7,600.00",$516.00,"$6,400.00","$9,800.00"
1453,Kansas City Southern,United States,"$2,700.00",$960.00,"$9,100.00","$11,300.00"
1454,Industrivarden,Sweden,$821.00,$803.00,"$12,900.00","$10,200.00"
1455,Lundbergs,Sweden,"$2,400.00",$782.00,"$15,800.00","$8,700.00"
1456,Bohai Financial Investment Holding,China,"$5,100.00",$418.00,"$46,400.00","$5,700.00"
1457,Hydro One,Canada,"$4,600.00",$521.00,"$20,500.00","$9,200.00"
1458,Hua Nan Financial,Taiwan,"$2,200.00",$395.00,"$86,500.00","$6,600.00"
1459,Caltex Australia,Australia,"$16,200.00",$475.00,"$5,000.00","$6,000.00"
1460,Proximus,Belgium,"$6,700.00",$616.00,"$10,600.00","$9,300.00"
1461,Advance Auto Parts,United States,"$9,400.00",$476.00,"$8,500.00","$8,900.00"
1462,Fastenal,United States,"$4,500.00",$619.00,"$3,000.00","$14,900.00"
1463,Mashreq Bank,United Arab Emirates,"$2,400.00",$573.00,"$33,600.00","$3,900.00"
1464,Oceanwide Holdings,China,"$2,300.00",$600.00,"$31,600.00","$5,900.00"
1465,CIFI Holdings Group,China,"$4,700.00",$716.00,"$23,300.00","$6,300.00"
1466,Bankunited,United States,"$1,400.00",$613.00,"$30,400.00","$4,400.00"
1467,Csc Financial,China,"$2,400.00",$595.00,"$31,600.00","$6,100.00"
1468,Reliance Steel,United States,"$10,100.00",$671.00,"$8,100.00","$6,600.00"
1469,Community Health Systems,United States,"$14,600.00","-$2,300.00","$17,300.00",$507.00
1470,Kintetsu,Japan,"$11,000.00",$272.00,"$17,000.00","$7,700.00"
1471,Shanghai International Airport,China,"$1,300.00",$590.00,"$4,500.00","$16,000.00"
1472,Hyundai Glovis,South Korea,"$14,500.00",$494.00,"$7,900.00","$5,500.00"
1473,New York Community,United States,"$1,800.00",$465.00,"$49,700.00","$5,700.00"
1474,Shenzhou International Group Holdings,China,"$2,700.00",$557.00,"$3,700.00","$17,200.00"
1475,Sino Land,Hong Kong,"$1,500.00",$961.00,"$20,300.00","$5,900.00"
1476,Zhongsheng Group Holdings,China,"$12,800.00",$498.00,"$7,300.00","$6,900.00"
1477,China Mengniu Dairy,Hong Kong,"$8,900.00",$303.00,"$8,900.00","$13,800.00"
1478,Martin Marietta Materials,United States,"$3,900.00",$679.00,"$8,900.00","$13,600.00"
1479,AECOM Technology,United States,"$19,100.00",$181.00,"$14,600.00","$5,300.00"
1480,Abengoa,Spain,"$1,700.00","$4,800.00","$7,600.00",$255.00
1481,Migdal Insurance,Israel,"$6,600.00",$106.00,"$42,200.00","$1,000.00"
1482,Sistema,Russia,"$12,200.00","-$1,600.00","$19,800.00","$1,700.00"
1483,Masraf Al Rayan,Qatar,$934.00,$562.00,"$28,400.00","$7,000.00"
1484,Bank Of Gansu,China,"$2,200.00",$495.00,"$41,600.00","$3,500.00"
1485,NSK,Japan,"$9,200.00",$625.00,"$10,300.00","$7,000.00"
1486,Merlin Properties SOCIMI S.A,Spain,$547.00,"$1,200.00","$14,400.00","$7,100.00"
1487,DCC,Ireland,"$16,600.00",$266.00,"$7,700.00","$8,800.00"
1488,Minebea,Japan,"$7,900.00",$536.00,"$6,700.00","$8,700.00"
1489,Abu Dhabi Islamic Bank,United Arab Emirates,"$1,800.00",$544.00,"$33,800.00","$3,300.00"
1490,LG Uplus,South Korea,"$11,100.00",$477.00,"$12,800.00","$5,200.00"
1491,Almarai,Saudi Arabia,"$3,700.00",$568.00,"$8,500.00","$16,000.00"
1492,Kaisa Group Holdings,China,"$4,900.00",$485.00,"$32,800.00","$3,400.00"
1493,NEXON,Japan,"$2,300.00",$753.00,"$5,400.00","$12,200.00"
1494,Gudang Garam,Indonesia,"$6,300.00",$577.00,"$4,600.00","$9,700.00"
1495,Kawasaki Heavy Industries,Japan,"$14,200.00",$261.00,"$16,800.00","$5,400.00"
1496,Ryder System,United States,"$7,500.00",$783.00,"$11,700.00","$3,600.00"
1497,China Development Financial,Taiwan,"$4,100.00",$384.00,"$80,400.00","$5,400.00"
1498,Suzano Papel e Celulose,Brazil,"$3,500.00",$674.00,"$9,000.00","$13,200.00"
1499,Jacobs Engineering,United States,"$11,900.00",$232.00,"$12,600.00","$9,000.00"
1500,Compal Electronics,Taiwan,"$29,200.00",$189.00,"$12,200.00","$3,000.00"
1501,Hang Lung Group,Hong Kong,"$1,600.00",$682.00,"$25,000.00","$4,300.00"
1502,Chang Hwa Bank,Taiwan,"$1,400.00",$398.00,"$68,400.00","$5,400.00"
1503,Leidos,United States,"$10,000.00",$396.00,"$8,900.00","$9,600.00"
1504,Mercuries & Associates,Taiwan,"$6,900.00",$54.00,"$36,000.00",$591.00
1505,Segro,United Kingdom,$382.00,"$1,200.00","$10,700.00","$9,000.00"
1506,JG Summit Holdings,Philippines,"$5,200.00",$583.00,"$14,900.00","$8,400.00"
1507,Bank Of Chengdu,China,"$2,100.00",$388.00,"$72,200.00","$6,100.00"
1508,Axiata Group,Malaysia,"$5,700.00",$212.00,"$17,500.00","$12,100.00"
1509,Banca Mediolanum,Italy,"$3,900.00",$429.00,"$51,900.00","$5,800.00"
1510,Maroc Telecom,Morocco,"$3,600.00",$588.00,"$6,700.00","$14,500.00"
1511,Arista Networks,United States,"$1,800.00",$484.00,"$2,600.00","$19,300.00"
1512,Church & Dwight,United States,"$3,900.00",$770.00,"$5,900.00","$11,600.00"
1513,Fukuoka Financial Group,Japan,"$2,100.00",-$367.00,"$176,500.00","$4,700.00"
1514,CA,United States,"$4,200.00",$471.00,"$13,100.00","$14,700.00"
1515,Xilinx,United States,"$2,500.00",$512.00,"$5,100.00","$17,600.00"
1516,Frontier Communications,United States,"$9,000.00","-$1,700.00","$24,700.00",$724.00
1517,Indiabulls Housing Finance,India,"$2,300.00",$597.00,"$20,200.00","$7,900.00"
1518,Barratt Developments,United Kingdom,"$6,200.00",$811.00,"$9,000.00","$7,700.00"
1519,Hertz Global Holdings,United States,"$9,000.00",$349.00,"$22,300.00","$1,500.00"
1520,Red Star Macalline Group,China,"$1,700.00",$640.00,"$16,300.00","$8,800.00"
1521,Geberit,Switzerland,"$3,000.00",$536.00,"$3,800.00","$16,400.00"
1522,Korea Investment Holdings,South Korea,"$1,800.00",$451.00,"$45,500.00","$5,200.00"
1523,JTEKT,Japan,"$13,000.00",$448.00,"$12,000.00","$5,400.00"
1524,Alfresa Holdings,Japan,"$23,500.00",$321.00,"$12,600.00","$4,900.00"
1525,Shanghai Commercial & Savings Bank,Taiwan,"$1,500.00",$407.00,"$58,300.00","$5,200.00"
1526,Stockland Australia,Australia,"$2,200.00",$902.00,"$14,800.00","$7,700.00"
1527,Mizrahi Tefahot Bank,Israel,"$2,300.00",$388.00,"$69,200.00","$4,400.00"
1528,CJ Cheiljedang,South Korea,"$14,600.00",$327.00,"$15,800.00","$5,300.00"
1529,Avis Budget Group,United States,"$9,000.00",$381.00,"$19,200.00","$3,500.00"
1530,Starwood Property Trust,United States,$943.00,$395.00,"$61,100.00","$5,600.00"
1531,China International Travel Service,China,"$4,700.00",$449.00,"$3,600.00","$18,800.00"
1532,Vicinity Centres,Australia,"$1,100.00","$1,100.00","$13,500.00","$7,500.00"
1533,BGF Retail,South Korea,"$2,400.00","$3,100.00",$802.00,"$3,200.00"
1534,Beijing Capital Development,China,"$5,300.00",$382.00,"$40,300.00","$3,700.00"
1535,China Merchants Holdings,Hong Kong,"$1,100.00",$774.00,"$16,900.00","$7,500.00"
1536,Sime Darby,Malaysia,"$8,700.00",$677.00,"$6,100.00","$4,600.00"
1537,Wärtsilä,Finland,"$5,800.00",$452.00,"$6,900.00","$12,700.00"
1538,Bluescope Steel,Australia,"$8,400.00",$612.00,"$7,500.00","$7,000.00"
1539,Dai Nippon Printing,Japan,"$12,700.00",$248.00,"$17,000.00","$6,500.00"
1540,Xerox,United States,"$10,200.00",$178.00,"$16,200.00","$7,700.00"
1541,Motorola Solutions,United States,"$6,600.00",-$115.00,"$9,100.00","$17,600.00"
1542,IHI,Japan,"$14,300.00",$75.00,"$15,400.00","$5,600.00"
1543,Hokuhoku Financial Group,Japan,"$1,600.00",$191.00,"$122,200.00","$2,000.00"
1544,Tosoh,Japan,"$7,400.00",$801.00,"$8,000.00","$6,000.00"
1545,Yunnan Baiyao Group,China,"$3,700.00",$487.00,"$4,500.00","$17,300.00"
1546,Great Eagle Holdings,Hong Kong,"$1,200.00","$1,100.00","$15,500.00","$3,400.00"
1547,Greentown China Holdings,China,"$6,300.00",$245.00,"$36,200.00","$3,200.00"
1548,Celltrion,South Korea,$898.00,$374.00,"$3,300.00","$30,300.00"
1549,World Fuel Services,United States,"$34,700.00",-$170.00,"$5,500.00","$1,500.00"
1550,Caesars Entertainment,United States,"$5,900.00",$137.00,"$25,200.00","$8,300.00"
1551,Far East Horizon,Hong Kong,"$2,800.00",$478.00,"$34,900.00","$4,100.00"
1552,Polyus,Russia,"$2,700.00","$1,200.00","$6,500.00","$8,300.00"
1553,Techtronic Industries,Hong Kong,"$6,100.00",$471.00,"$5,600.00","$11,200.00"
1554,Petro Rabigh,Saudi Arabia,"$10,000.00",$379.00,"$16,400.00","$5,900.00"
1555,INTL FCStone,United States,"$32,300.00",$5.00,"$7,200.00",$883.00
1556,Two Harbors Investment,United States,"$1,100.00",$611.00,"$24,100.00","$2,700.00"
1557,Blom Bank,Lebanon,"$2,300.00",$486.00,"$33,100.00","$2,300.00"
1558,Xiamen Xiangyu,China,"$31,600.00",$122.00,"$8,800.00","$2,100.00"
1559,MMI Holdings,South Africa,"$6,100.00",$133.00,"$38,200.00","$2,700.00"
1560,Lindt & Sprungli,Switzerland,"$4,200.00",$458.00,"$7,300.00","$18,100.00"
1561,Beijing Shougang,China,"$8,900.00",$335.00,"$21,600.00","$3,600.00"
1562,Rajesh Exports,India,"$30,400.00",$189.00,"$3,300.00","$2,800.00"
1563,Sunny Optical Technology Group,China,"$3,300.00",$431.00,"$2,400.00","$19,900.00"
1564,Aurubis,Germany,"$12,900.00",$454.00,"$5,600.00","$4,100.00"
1565,Wistron,Taiwan,"$27,500.00",$128.00,"$11,000.00","$2,100.00"
1566,Colruyt,Belgium,"$10,300.00",$408.00,"$5,000.00","$8,200.00"
1567,Adient,Ireland,"$16,800.00",$164.00,"$13,100.00","$5,200.00"
1568,Hong Leong Financial,Malaysia,"$2,000.00",$379.00,"$56,200.00","$5,500.00"
1569,Kyushu Financial Group,Japan,"$1,400.00",$175.00,"$94,800.00","$2,300.00"
1570,Rongsheng Petrochemical,China,"$10,900.00",$304.00,"$11,400.00","$9,400.00"
1571,DSME,South Korea,"$9,800.00",$554.00,"$10,700.00","$2,600.00"
1572,Nishi-nippon Financial Holdings,Japan,"$1,200.00",$194.00,"$93,700.00","$1,900.00"
1573,Vertex Pharmaceuticals,United States,"$2,400.00",$226.00,"$4,000.00","$39,700.00"
1574,360 Security Technology,China,$321.00,$10.00,"$3,600.00","$39,300.00"
1575,SBI Holdings,Japan,"$2,600.00",$421.00,"$42,700.00","$5,900.00"
1576,VEON,Netherlands,"$9,800.00",-$498.00,"$19,500.00","$4,700.00"
1577,El Puerto de Liverpool,Mexico,"$6,800.00",$545.00,"$8,800.00","$8,200.00"
1578,NetApp,United States,"$5,800.00",-$5.00,"$9,800.00","$19,400.00"
1579,Hopson Development Holdings,Hong Kong,"$1,800.00",$744.00,"$19,700.00","$2,300.00"
1580,Yamaguchi Financial,Japan,"$1,400.00",$299.00,"$90,300.00","$3,200.00"
1581,Bajaj Auto,India,"$3,600.00",$600.00,"$3,500.00","$12,100.00"
1582,China Longyuan Power,China,"$3,600.00",$543.00,"$22,400.00","$7,100.00"
1583,Banco Comercial Portugues,Portugal,"$3,400.00",$259.00,"$89,400.00","$5,400.00"
1584,Hero Motocorp,India,"$5,000.00",$577.00,"$2,700.00","$10,700.00"
1585,InterContinental Hotels,United Kingdom,"$1,800.00",$589.00,"$3,200.00","$12,300.00"
1586,North Pacific Bank,Japan,"$1,200.00",$124.00,"$89,300.00","$1,500.00"
